Index,Title,Artist,Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
61,DeNeusUmhoeg,Rowwen Hèze,carnaval limburg,2005,132,41,62,-14,10,51,215,7,3,32
62,SolitaryMan,Johnny Cash,arkansas country,2000,86,56,44,-7,25,70,144,35,3,47
63,Smoorverliefd,Doe Maar,dutch cabaret,2008,166,75,70,-9,19,91,195,13,10,48
64,MeGustasTu,Manu Chao,latin alternative,2001,176,74,66,-7,22,91,240,66,8,70
65,Kryptonite,3 Doors Down,alternative metal,2000,99,87,55,-6,17,54,234,1,3,77
66,Crazy,Seal,british soul,2004,103,86,63,-7,7,73,357,21,5,63
67,FamilyPortrait,P!nk,dance pop,2001,92,69,76,-5,57,73,297,3,5,56
68,InTheArmyNow,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59
69,ISurrender,Saybia,danish pop rock,2004,136,43,28,-7,6,7,219,28,3,55
70,MaybeTomorrow,Stereophonics,britpop,2003,81,65,50,-7,33,57,273,22,4,64
71,MakeYouFeelMyLove,Adele,british soul,2008,77,18,55,-11,11,9,212,89,3,73
72,NoOneKnows,Queens of the Stone Age,alternative metal,2002,171,58,51,-5,37,67,279,3,6,65
73,WhereDoYouGoToMyLovelyReRecorded,Peter Sarstedt,british folk,2008,183,44,56,-8,12,44,288,29,3,58
74,TheWildRover,The Dubliners,celtic,2008,178,68,30,-8,43,77,249,83,25,46
75,LittleLionMan,Mumford & Sons,modern folk rock,2009,139,48,52,-8,9,46,247,3,3,67
76,DirtyDiana,Michael Jackson,pop,2003,131,80,75,-5,42,37,281,24,5,55
77,Nemequittepas,Jacques Brel,chanson,2004,101,24,42,-11,19,30,229,82,5,58
78,SadMansTongue,Volbeat,alternative metal,2007,110,96,43,-4,17,56,186,0,4,57
79,WatZouJeDoenLive,Marco Borsato,dutch cabaret,2006,104,92,66,-6,61,46,229,38,17,30
80,OneDayLikeThis,Elbow,britpop,2009,159,67,43,-6,14,38,394,9,3,45
81,Bagagedrager,Spinvis,dutch indie,2002,160,71,50,-8,43,33,375,8,5,45
82,WrBisto,Twarres,dutch pop,2001,88,32,52,-11,9,18,226,33,2,48
83,OnlyTime,Enya,celtic,2000,83,25,42,-14,11,21,219,84,3,70
84,SorrySeemsToBeTheHardestWord,Blue,boy band,2004,79,60,56,-7,38,44,210,18,3,58
85,SelfEsteem,The Offspring,alternative metal,2005,105,91,46,-4,36,61,258,2,6,72
86,AanzoekZonderRingen,BLØF,dutch pop,2006,160,85,55,-8,32,46,283,2,4,42
87,ModernWorld,Anouk,dutch indie,2007,120,76,70,-5,13,68,210,12,6,42
88,Rosie,Claw Boys Claw,dutch indie,2007,100,55,59,-12,11,64,264,47,3,43
89,ThisIsNotAmericaRemaster,David Bowie,album rock,2002,115,67,72,-12,5,65,231,6,4,43
90,TimesLikeThese,Foo Fighters,alternative metal,2002,145,91,38,-4,24,27,266,0,9,65
91,DeVondelingVanAmeland,Boudewijn de Groot,dutch indie,2007,110,35,39,-10,11,16,306,67,3,19
92,ImGonnaBeMiles,The Proclaimers,celtic rock,2003,132,55,85,-5,8,81,219,15,4,74
93,AfscheidNemenBestaatNiet,Marco Borsato,dutch cabaret,2006,128,40,40,-9,9,22,240,3,3,49
94,BlauweRuis,BLØF,dutch pop,2002,130,70,52,-7,13,35,268,4,4,41
95,LimburgLive,Rowwen Hèze,carnaval limburg,2008,157,93,23,-5,93,28,403,29,17,32
96,Guns,Green Day,modern rock,2009,160,74,27,-5,63,42,321,5,4,75
97,ValeriefeatAmyWinehouseVersionRevisited,Mark Ronson,dance pop,2007,106,84,70,-5,12,89,219,0,5,62
98,Blaosmuziek,Gé Reinders,carnaval limburg,2005,61,13,27,-14,33,18,232,94,4,38
99,Binnen,Marco Borsato,dutch cabaret,2002,92,90,50,-7,15,67,275,1,6,30
100,MotorcycleEmptiness,Manic Street Preachers,alternative rock,2002,112,81,53,-4,16,21,306,0,3,39
101,IntheEnd,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83
102,Haltmich,Herbert Grönemeyer,german pop,2008,104,44,29,-7,8,16,207,79,3,44
103,Girl,Anouk,dutch indie,2004,136,80,67,-5,6,79,211,1,3,56
104,TrappedLiveatMeadowlandsArenaERutherfordNJAugust,Bruce Springsteen,classic rock,2003,162,62,32,-6,60,36,308,3,3,40
105,IkWouDatIkJouWas,Veldhuis & Kemper,dutch cabaret,2003,160,61,36,-6,11,49,237,54,4,58
106,EmpireStateofMindPartIIBrokenDown,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75
107,NumbEncore,JAY-Z,east coast hip hop,2004,107,79,69,-4,58,75,206,6,17,75
108,BenIkTeMin,Armand,dutch rock,2009,101,69,62,-7,6,56,208,28,3,47
109,AllSummerLong,Kid Rock,alternative metal,2007,103,86,70,-4,10,89,298,2,3,72
110,ForeverAutumn,Jeff Wayne,classic uk pop,2007,122,49,35,-7,21,21,273,47,3,41
111,WaitingOntheWorldtoChange,John Mayer,neo mellow,2006,177,76,58,-6,25,66,201,16,12,74
112,EverybodysChanging,Keane,modern rock,2004,94,84,52,-4,10,46,215,0,3,54
113,HowtoSaveaLife,The Fray,modern rock,2005,122,74,64,-4,10,36,263,27,4,80
114,BloedZweetEnTranen,Andre Hazes,dutch pop,2002,68,72,60,-4,35,37,242,8,3,59
115,LoseYourselfFromMileSoundtrack,Eminem,detroit hip hop,2005,171,74,69,-5,36,6,326,1,26,77
116,EuropaEarthsCryHeavensSmile,Santana,blues rock,2007,75,67,30,-5,15,68,306,3,5,59
117,FeelingGood,Muse,modern rock,2001,109,42,35,-8,10,27,199,30,3,51
118,HarderBetterFasterStronger,Daft Punk,electro,2001,123,72,82,-9,36,69,225,4,14,71
119,UseSomebody,Kings of Leon,modern rock,2008,137,72,28,-5,20,17,231,1,4,76
120,SweetDisposition,The Temper Trap,alternative dance,2009,129,82,53,-7,12,34,231,7,4,64
121,SingleLadiesPutaRingonIt,Beyoncé,dance pop,2008,193,58,43,-5,19,27,193,4,30,70
122,YouretheVoice,John Farnham,australian pop,2008,85,76,37,-9,58,64,302,22,5,62
123,VoltooidVerledenTijd,IOS,dutch pop,2009,138,44,46,-9,10,15,294,66,3,39
124,EternalFlame,The Bangles,album rock,2004,79,36,53,-7,9,40,238,53,2,70
125,PapaWasARollingStone,The Temptations,adult standards,2001,120,60,85,-12,19,87,433,6,4,44
126,CrazyInLovefeatJayZ,Beyoncé,dance pop,2003,99,77,65,-7,7,68,236,0,23,75
127,BestofYou,Foo Fighters,alternative metal,2005,130,94,37,-5,19,37,256,0,7,75
128,Daughters,John Mayer,neo mellow,2003,125,41,67,-8,10,50,238,84,3,68
129,Dewedstrijd,Bram Vermeulen,belgian rock,2006,136,85,58,-6,79,58,302,53,5,42
130,Papillon,Editors,alternative dance,2009,126,95,51,-5,30,63,324,0,6,56
131,Sadeness,Enigma,downtempo,2001,96,64,59,-10,9,49,256,9,3,58
132,RedMijNietSingleEdit,Maarten Van Roozendaal,dutch indie,2001,119,38,52,-9,10,13,270,76,4,36
133,LoveIsALosingGame,Amy Winehouse,british soul,2006,165,56,48,-6,18,54,154,32,3,67
134,Zij,Marco Borsato,dutch cabaret,2002,58,40,25,-9,9,11,245,45,4,52
135,Tribute,Tenacious D,alternative metal,2001,94,77,37,-6,9,42,248,18,7,59
136,YouKnowImNoGood,Amy Winehouse,british soul,2006,103,81,71,-4,7,73,257,1,3,74
137,Talk,Coldplay,permanent wave,2005,120,56,41,-11,16,16,311,1,3,63
138,LoveIsABattlefield,Pat Benatar,album rock,2001,91,63,67,-12,10,86,245,1,5,54
139,Home,Michael Bublé,adult standards,2005,128,37,61,-9,11,35,226,84,3,64
140,Sonne,Rammstein,alternative metal,2001,75,92,51,-5,40,31,272,1,9,60
141,IGottaFeeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,69
142,SheSellsSanctuary,The Cult,album rock,2000,139,77,55,-9,13,42,253,0,3,63
143,Alie,Normaal,dutch rock,2008,93,77,52,-11,6,93,181,14,6,42
144,RedRedWine,UB40,reggae fusion,2000,89,47,86,-9,27,84,184,0,5,74
145,ALittleLessConversationJXLRadioEditRemix,Elvis Presley,adult standards,2002,115,97,60,-6,13,72,212,0,5,64
146,LoveYouMore,Racoon,dutch indie,2005,171,20,34,-11,11,30,197,76,3,43
147,OldMan,Neil Young,album rock,2004,141,30,71,-12,10,48,203,44,3,44
148,ZijMaaktHetVerschil,De Poema  s,dutch pop,2003,173,55,34,-8,12,36,280,33,4,54
149,IWantToHoldYourHandRemastered,The Beatles,british invasion,2000,131,72,49,-6,31,87,146,39,5,75
150,BlackMagicWoman,Santana,blues rock,2007,124,55,50,-7,9,63,196,68,3,62
151,SetTheFireToTheThirdBar,Snow Patrol,irish rock,2006,96,38,54,-7,8,39,204,52,3,49
152,GhostLoveScore,Nightwish,finnish metal,2004,101,78,44,-5,29,19,602,1,4,38
153,GoingToATown,Rufus Wainwright,canadian pop,2007,124,46,56,-7,10,19,245,72,3,38
154,IsDitAlles,Doe Maar,dutch cabaret,2008,121,41,83,-14,5,88,324,46,13,44
155,AGentlemansExcuseMe,Fish,album rock,2008,126,17,33,-14,32,19,259,86,4,44
156,GodPutaSmileuponYourFace,Coldplay,permanent wave,2002,127,56,61,-6,4,24,297,18,3,64
157,HeartbreakWarfare,John Mayer,neo mellow,2009,97,55,62,-8,30,31,270,19,2,66
158,SailingtoPhiladelphia,Mark Knopfler,classic rock,2005,99,48,59,-10,9,15,353,64,2,39
159,AccidentallyInLove,Counting Crows,alternative rock,2004,138,93,55,-4,9,81,189,4,4,59
160,ItsRainingMen,The Weather Girls,disco,2008,136,93,66,-6,70,46,212,46,16,58
161,OneWord,Anouk,dutch indie,2004,92,57,62,-8,11,34,243,10,3,52
162,GoodnightSaigon,Billy Joel,album rock,2001,129,39,59,-14,7,15,423,13,6,46
163,MoonlightShadow,Mike Oldfield,album rock,2009,129,72,61,-8,36,80,218,29,3,64
164,ZingVechtHuilBidLachWerkEnBewonder,Ramses Shaffy,dutch cabaret,2006,130,32,53,-17,97,46,281,53,8,41
165,Uprising,Muse,modern rock,2009,128,91,60,-4,12,41,305,0,8,76
166,MyImmortal,Evanescence,alternative metal,2003,79,27,19,-9,13,10,263,86,4,74
167,FeelLikeFlying,Racoon,dutch indie,2005,98,69,67,-7,10,83,213,6,3,41
168,Everything,Michael Bublé,adult standards,2007,123,69,69,-5,9,49,212,39,3,73
169,HeyThereDelilah,Plain White T  s,neo mellow,2005,104,29,66,-11,11,30,233,87,3,80
170,Speeltuin,Marco Borsato,dutch cabaret,2002,112,8,53,-16,11,31,135,92,5,50
171,Comptinedunautretlaprsmidi,Yann Tiersen,bow pop,2001,100,19,48,-15,11,6,141,99,5,56
172,SweetGoodbyes,Krezip,dutch indie,2009,110,33,63,-9,11,47,193,74,3,56
173,TheManWhoCantBeMoved,The Script,celtic rock,2008,100,63,61,-5,10,33,241,43,3,64
174,FreeFallinLiveatthe,John Mayer,neo mellow,2008,173,30,32,-13,70,44,264,77,3,75
175,Halo,Beyoncé,dance pop,2008,80,72,51,-6,6,47,262,27,6,78
176,Hollereer,De Jeugd Van Tegenwoordig,dutch hip hop,2008,190,76,79,-7,10,49,346,3,24,46
177,Hier,BLØF,dutch pop,2000,164,76,50,-8,14,58,248,0,3,40
178,IceQueen,Within Temptation,dutch metal,2003,92,57,26,-8,11,15,319,4,3,47
179,AnotherMiles,Golden Earring,album rock,2008,91,59,56,-10,23,48,284,28,3,50
180,LikeaHurricaneRemaster,Neil Young,album rock,2004,114,83,42,-5,16,61,501,1,4,49
181,FatherFriend,Alain Clark,dutch pop,2007,98,62,66,-9,7,66,256,51,3,35
182,IveHadTheTimeofMyLifeFromDirtyDancingSoundtrack,Bill Medley,soft rock,2004,109,78,70,-8,6,39,289,9,5,70
183,TheBlowersDaughter,Damien Rice,acoustic pop,2003,133,20,34,-14,34,7,287,13,3,56
184,Magnificent,U2,irish rock,2009,115,72,53,-6,11,59,324,0,3,44
185,VirtualInsanityRemastered,Jamiroquai,acid jazz,2006,92,95,66,-5,14,52,229,13,11,69
186,BelleHlne,Doe Maar,dutch cabaret,2008,138,56,74,-10,8,98,170,11,4,49
187,GoWithTheFlow,Queens of the Stone Age,alternative metal,2002,159,99,24,-4,83,37,187,1,10,58
188,SoundOfTheScreamengDay,Golden Earrings,dutch prog,2008,138,55,59,-8,29,50,171,0,3,26
189,PluginBaby,Muse,modern rock,2001,136,97,41,-4,11,35,218,0,5,53
190,HeavyCross,Gossip,alternative dance,2009,120,69,79,-4,14,22,243,8,3,59
191,Nederwiet,Doe Maar,dutch cabaret,2008,131,71,78,-9,6,61,414,46,19,39
192,HeartOfGlass,Blondie,candy pop,2006,115,70,73,-8,6,41,252,0,3,52
193,TheRealSlimShady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
194,StuckInAMomentYouCantGetOutOf,U2,irish rock,2000,159,64,52,-5,17,32,272,39,2,52
195,TumbleandFall,JOHAN,dutch indie,2001,170,61,45,-7,9,48,209,2,3,36
196,LeslacsduConnemara,Michel Sardou,chanson,2004,112,59,30,-10,63,40,364,57,5,59
197,HierKomIkWeg,Daniël Lohues,dutch indie,2008,92,38,57,-10,13,53,208,85,3,39
198,Starlight,Muse,modern rock,2006,122,87,55,-4,21,32,240,0,3,73
199,Dakota,Stereophonics,britpop,2005,147,93,51,-3,9,31,297,13,7,68
200,TimeToSayGoodbyeConTePartir,Sarah Brightman,operatic pop,2006,105,44,29,-7,10,45,246,91,3,59
201,GreenEyes,Coldplay,permanent wave,2002,130,41,61,-9,23,23,223,54,3,63
202,SilencefeatSarahMcLachlan,Delerium,trance,2004,138,85,60,-6,6,9,235,1,6,58
203,DeKapiteinDeelII,Acda en de Munnik,dutch cabaret,2000,115,61,67,-11,11,67,181,41,3,51
204,SupermassiveBlackHole,Muse,modern rock,2006,120,92,67,-4,9,78,212,5,4,73
205,PakMaarMnHand,Nick & Simon,dutch pop,2007,166,57,32,-5,11,38,212,38,3,59
206,DeBom,Doe Maar,dutch cabaret,2008,133,81,86,-8,12,85,161,31,4,49
207,Bombay,Golden Earring,album rock,2008,125,92,52,-7,2,73,234,2,5,34
208,MaryJanesLastDance,Tom Petty and the Heartbreakers,album rock,2008,170,66,46,-9,33,53,274,3,6,72
209,OerendHard,Normaal,dutch rock,2008,127,66,66,-10,8,84,225,12,10,52
210,Society,Eddie Vedder,permanent wave,2007,162,33,56,-11,11,30,236,90,3,67
211,WhiteFlag,Dido,dance pop,2003,170,54,51,-7,9,28,241,31,4,54
212,HeavenMustBeMissingAnAngelPt,Tavares,adult standards,2004,117,75,61,-9,39,97,394,1,3,49
213,WakeMeupWhenSeptemberEnds,Green Day,modern rock,2004,105,81,55,-5,10,15,286,2,3,77
214,CantStop,Red Hot Chili Peppers,alternative rock,2002,91,94,62,-3,17,88,269,2,5,80
215,DrivingHomeforChristmas,Chris Rea,art rock,2007,180,66,50,-9,21,89,240,33,4,80
216,Mutter,Rammstein,alternative metal,2001,116,62,49,-7,13,8,269,2,3,51
217,Pa,Doe Maar,dutch cabaret,2008,129,59,93,-12,11,96,219,43,5,41
218,Blauw,The Scene,belgian rock,2007,135,75,51,-7,14,28,236,0,3,47
219,SpicksAndSpecks,Bee Gees,adult standards,2001,123,63,65,-7,28,71,172,78,3,47
220,Stan,Eminem,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,75
221,Beautiful,Christina Aguilera,dance pop,2002,76,57,46,-4,11,10,239,58,3,71
222,Gravity,John Mayer,neo mellow,2006,124,33,76,-10,24,24,246,73,3,75
223,LeavetheLightOn,Beth Hart,blues rock,2009,142,48,57,-6,10,16,244,26,3,32
224,RuthlessQueen,Kayak,dutch prog,2009,124,46,53,-10,20,22,291,8,3,32
225,EverlongAcousticVersion,Foo Fighters,alternative metal,2009,144,34,64,-11,11,55,251,91,3,69
226,HereWithoutYou,3 Doors Down,alternative metal,2002,144,55,54,-7,13,23,239,5,2,75
227,One,Mary J   Blige,dance pop,2005,186,87,34,-3,13,27,260,8,8,61
228,MijnHoutenHart,De Poema  s,dutch pop,2003,70,59,43,-6,9,25,259,46,3,45
229,MadWorldFeatMichaelAndrews,Gary Jules,neo mellow,2002,174,6,35,-17,10,30,190,98,4,70
230,SindsDagOfJaar,Doe Maar,dutch cabaret,2008,114,60,88,-11,14,96,201,28,4,53
231,FeelingGood,Michael Bublé,adult standards,2005,115,55,54,-7,12,48,237,53,4,64
232,TheWallStreetShuffle,10cc,album rock,2004,98,50,52,-11,11,66,242,16,3,46
233,Song,Blur,alternative rock,2000,130,71,66,-7,7,86,122,0,9,64
234,IWouldStay,Krezip,dutch indie,2000,95,26,47,-11,12,27,232,82,4,55
235,PianoMan,Billy Joel,album rock,2001,179,47,33,-9,32,43,336,60,3,70
236,Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,79
237,Lost,Anouk,dutch indie,2004,90,25,52,-10,14,14,222,22,3,51
238,Woman,Wolfmother,alternative rock,2006,113,95,22,-4,16,17,176,0,18,62
239,WhereIsTheLove,The Black Eyed Peas,dance pop,2003,94,70,83,-3,13,80,273,11,20,66
240,Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,28,267,0,3,82
241,ThisIsTheLife,Amy Macdonald,scottish singer-songwriter,2007,95,88,62,-5,7,86,184,27,3,41
242,WickedGame,Chris Isaak,mellow gold,2006,113,55,67,-8,9,29,287,74,3,70
243,Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,53,261,17,2,74
244,NotAnAddict,K  s Choice,alternative pop,2009,169,65,26,-7,12,34,288,0,4,43
245,SoIncredible,Ilse DeLange,dutch americana,2008,104,86,54,-6,72,75,177,11,3,54
246,MrRockRoll,Amy Macdonald,scottish singer-songwriter,2007,111,87,60,-5,11,44,215,3,3,30
247,WillYouBeThereSingleVersion,Michael Jackson,pop,2005,83,63,41,-7,8,44,220,51,7,53
248,Vlinder,Rowwen Hèze,carnaval limburg,2003,175,79,35,-5,38,80,231,16,4,33
249,Cambodia,Kim Wilde,dance pop,2006,111,57,70,-8,11,71,236,1,3,51
250,BackToBlack,Amy Winehouse,british soul,2006,123,73,49,-3,10,34,240,12,4,77
251,Dochters,Marco Borsato,dutch cabaret,2008,128,52,64,-10,11,36,270,57,3,57
252,HocusPocus,Focus,album rock,2001,184,82,26,-6,28,40,403,2,15,53
253,Mensch,Herbert Grönemeyer,german pop,2008,174,78,68,-6,8,87,270,3,8,47
254,Amsterdam,Coldplay,permanent wave,2002,73,18,26,-10,12,11,319,84,3,57
255,TimeIsRunningOut,Muse,modern rock,2004,118,84,59,-6,9,43,237,0,6,69
256,RainDownonMe,Kane,dutch pop,2003,133,88,46,-3,11,33,247,0,6,47
257,Denis,Blondie,candy pop,2006,139,77,53,-7,6,86,139,0,5,42
258,HometownGlory,Adele,british soul,2008,123,34,45,-9,10,21,269,96,4,59
259,LiveAndLetDieLive,Paul McCartney,album rock,2003,150,93,24,-3,97,23,185,36,8,60
260,IStillCry,Ilse DeLange,dutch americana,2000,98,35,54,-9,13,16,274,32,3,30
261,RenLennyRen,Acda en de Munnik,dutch cabaret,2002,110,87,51,-5,33,43,233,1,5,43
262,InMyPlace,Coldplay,permanent wave,2002,145,59,43,-5,30,19,227,6,3,70
263,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81
264,SlowDancinginaBurningRoom,John Mayer,neo mellow,2006,134,36,67,-9,8,29,242,57,3,76
265,EmpireStateOfMind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,77
266,DropsofJupiter,Train,dance pop,2001,79,64,47,-6,15,50,260,15,3,77
267,Omarm,BLØF,dutch pop,2003,184,44,27,-9,10,8,252,41,3,46
268,WhatAWonderfulWorld,Sam Cooke,adult standards,2000,129,51,69,-10,46,89,125,63,3,71
269,Teardrops,Womack & Womack,disco,2001,133,72,87,-10,18,97,229,9,5,61
270,TheRising,Bruce Springsteen,classic rock,2002,110,76,50,-6,9,33,287,7,3,53
271,SnowHeyOh,Red Hot Chili Peppers,alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
272,IDontWannaHurt,Anouk,dutch indie,2007,79,48,48,-7,10,22,213,60,3,46
273,OrdinaryPeople,John Legend,neo mellow,2005,67,13,47,-14,9,36,281,93,8,69
274,IedereenIsVanDeWereld,The Scene,belgian rock,2007,118,73,45,-7,29,38,228,0,4,50
275,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,66
276,AllNightLongAllNightSingleVersion,Lionel Richie,adult standards,2003,109,58,74,-12,5,78,260,12,5,64
277,CantStopLovingYouRemaster,Phil Collins,mellow gold,2002,100,78,60,-6,11,42,256,1,3,62
278,CityOfBlindingLights,U2,irish rock,2004,139,77,44,-4,11,20,346,0,3,60
279,Munich,Editors,alternative dance,2005,149,88,18,-4,32,39,226,0,5,61
280,HeyYa,OutKast,atl hip hop,2003,80,97,73,-2,18,97,235,10,7,79
281,ThereMustBeanAngelPlayingwithMyHeart,Eurythmics,dance pop,2005,112,78,58,-5,8,60,281,28,4,40
282,LaatMeVivreLangeVersie,Alderliefste met Ramses Shaffy en Liesbeth List,dutch pop,2005,81,41,66,-9,16,37,386,60,3,43
283,Watskeburt,De Jeugd Van Tegenwoordig,dutch hip hop,2008,130,49,95,-8,23,59,376,1,23,55
284,Feel,Robbie Williams,dance pop,2002,98,73,60,-7,14,29,264,1,3,72
285,LadyJaneOriginalSingleMonoVersion,The Rolling Stones,album rock,2004,205,47,38,-12,9,31,190,34,5,34
286,LaIslaBonita,Madonna,dance pop,2009,100,83,71,-5,6,97,243,39,4,66
287,GoLikeElijah,Chi Coltrane,alternative pop rock,2009,134,88,63,-5,17,49,242,4,4,40
